
Date	US Dollar to South Korean Won Monthly Exchange Rates
Saturday 1 January 2022	$1 USD = ₩1188.8367	US Dollar South Korean Won rate for 01/01/2022
Sunday 2 January 2022	$1 USD = ₩1188.8041	US Dollar South Korean Won rate for 02/01/2022
Monday 3 January 2022	$1 USD = ₩1195.6584	US Dollar South Korean Won rate for 03/01/2022
Tuesday 4 January 2022	$1 USD = ₩1197.4004	US Dollar South Korean Won rate for 04/01/2022
Wednesday 5 January 2022	$1 USD = ₩1200.2414	US Dollar South Korean Won rate for 05/01/2022
Thursday 6 January 2022	$1 USD = ₩1205.9864	US Dollar South Korean Won rate for 06/01/2022
Friday 7 January 2022	$1 USD = ₩1197.6116	US Dollar South Korean Won rate for 07/01/2022
Saturday 8 January 2022	$1 USD = ₩1197.5116	US Dollar South Korean Won rate for 08/01/2022
Sunday 9 January 2022	$1 USD = ₩1197.532	US Dollar South Korean Won rate for 09/01/2022
Monday 10 January 2022	$1 USD = ₩1198.1404	US Dollar South Korean Won rate for 10/01/2022
Tuesday 11 January 2022	$1 USD = ₩1189.593	US Dollar South Korean Won rate for 11/01/2022
Wednesday 12 January 2022	$1 USD = ₩1186.1281	US Dollar South Korean Won rate for 12/01/2022
Thursday 13 January 2022	$1 USD = ₩1186.8253	US Dollar South Korean Won rate for 13/01/2022
Friday 14 January 2022	$1 USD = ₩1190.303	US Dollar South Korean Won rate for 14/01/2022
Saturday 15 January 2022	$1 USD = ₩1190.3034	US Dollar South Korean Won rate for 15/01/2022
Sunday 16 January 2022	$1 USD = ₩1190.0258	US Dollar South Korean Won rate for 16/01/2022
Monday 17 January 2022	$1 USD = ₩1190.9191	US Dollar South Korean Won rate for 17/01/2022
Tuesday 18 January 2022	$1 USD = ₩1193.006	US Dollar South Korean Won rate for 18/01/2022
Wednesday 19 January 2022	$1 USD = ₩1188.3851	US Dollar South Korean Won rate for 19/01/2022
Thursday 20 January 2022	$1 USD = ₩1192.4764	US Dollar South Korean Won rate for 20/01/2022
Friday 21 January 2022	$1 USD = ₩1192.647	US Dollar South Korean Won rate for 21/01/2022
Saturday 22 January 2022	$1 USD = ₩1192.6432	US Dollar South Korean Won rate for 22/01/2022
Sunday 23 January 2022	$1 USD = ₩1192.3781	US Dollar South Korean Won rate for 23/01/2022
Monday 24 January 2022	$1 USD = ₩1195.7838	US Dollar South Korean Won rate for 24/01/2022
Tuesday 25 January 2022	$1 USD = ₩1196.1229	US Dollar South Korean Won rate for 25/01/2022
Wednesday 26 January 2022	$1 USD = ₩1200.7563	US Dollar South Korean Won rate for 26/01/2022
Thursday 27 January 2022	$1 USD = ₩1203.671	US Dollar South Korean Won rate for 27/01/2022
Friday 28 January 2022	$1 USD = ₩1209.7851	US Dollar South Korean Won rate for 28/01/2022
Saturday 29 January 2022	$1 USD = ₩1209.8105	US Dollar South Korean Won rate for 29/01/2022
Sunday 30 January 2022	$1 USD = ₩1209.4612	US Dollar South Korean Won rate for 30/01/2022
Monday 31 January 2022	$1 USD = ₩1206.2506	US Dollar South Korean Won rate for 31/01/2022
Worst exchange rate of January 2022: 1186.1281, Best exchange rate of January 2022: 1209.8105, Average exchange rate in January 2022: 1195.9677
February 2022
Date	US Dollar to South Korean Won Monthly Exchange Rates
Tuesday 1 February 2022	$1 USD = ₩1202.6758	US Dollar South Korean Won rate for 01/02/2022
Wednesday 2 February 2022	$1 USD = ₩1200.2769	US Dollar South Korean Won rate for 02/02/2022
Thursday 3 February 2022	$1 USD = ₩1200.7646	US Dollar South Korean Won rate for 03/02/2022
Friday 4 February 2022	$1 USD = ₩1198.3522	US Dollar South Korean Won rate for 04/02/2022
Saturday 5 February 2022	$1 USD = ₩1198.373	US Dollar South Korean Won rate for 05/02/2022
Sunday 6 February 2022	$1 USD = ₩1198.5198	US Dollar South Korean Won rate for 06/02/2022
Monday 7 February 2022	$1 USD = ₩1196.8803	US Dollar South Korean Won rate for 07/02/2022
Tuesday 8 February 2022	$1 USD = ₩1196.4026	US Dollar South Korean Won rate for 08/02/2022
Wednesday 9 February 2022	$1 USD = ₩1194.2016	US Dollar South Korean Won rate for 09/02/2022
Thursday 10 February 2022	$1 USD = ₩1199.7563	US Dollar South Korean Won rate for 10/02/2022
Friday 11 February 2022	$1 USD = ₩1199.7942	US Dollar South Korean Won rate for 11/02/2022
Saturday 12 February 2022	$1 USD = ₩1199.7511	US Dollar South Korean Won rate for 12/02/2022
